category,query_group,query,best_rank,url,title,body_char_count,image_count,heading_count,quality_score,quality_eligible,fetch_verdict,collected_at
travel,europe,스페인 포르투갈 패키지여행 후기,1,https://blog.naver.com/sticky4/224378695818,스페인 포르투갈 여행 패키지 대표 도시 5곳 가볼만한곳 후기,5233,57,12,95,True,strong_ok,2026-08-30T00:15:10+09:00
travel,europe,이탈리아 패키지여행 후기 일정,1,https://blog.naver.com/bian258/224378454628,이탈리아 여행 유럽 가족여행 7박 9일 일주 코스 세미 패키지,2702,38,12,85,True,strong_ok,2026-08-30T00:15:10+09:00
travel,europe,스위스 패키지여행 후기 코스,1,https://blog.naver.com/rockbeertravel/224364927023,서유럽 여행 코스 스위스 독일 맞춤패키지 두레블,1777,31,12,87,True,strong_ok,2026-08-30T00:15:11+09:00
travel,europe,동유럽 패키지여행 후기,1,https://blog.naver.com/likez2/224378944655,"여자 혼자 유럽 여행 후기, 동유럽 서유럽 15일 일정 세미 패키지 추천",2381,38,12,95,True,strong_ok,2026-08-30T00:15:11+09:00
travel,europe,튀르키예 패키지여행 후기 일정,1,https://blog.naver.com/daun1217/224379016308,튀르키예 여행 터키 세미패키지 솔직후기 자유여행보다 훨씬 편함,2286,39,12,95,True,strong_ok,2026-08-30T00:15:11+09:00
travel,europe,프랑스 파리 패키지여행 후기,1,https://blog.naver.com/wsw9090/224382241471,프랑스 파리 근교여행 베르사유 궁전 지베르니 모네의 집 마이유럽 추천 후기,1901,30,12,87,True,strong_ok,2026-08-30T00:15:11+09:00
travel,americas,미국 뉴욕 패키지여행 후기,1,https://blog.naver.com/parancanada/224385147799,[뉴욕 패키지] '파란여행' 뉴욕만 4일 여행 후기(2026. 08. 13),1837,25,12,87,True,strong_ok,2026-08-30T00:15:12+09:00
travel,oceania,호주 시드니 패키지여행 후기,1,https://blog.naver.com/zzk0020/224388894283,호주 시드니 자유여행 코스 후기 직접 다녀오니 패키지 추천하는 이유,1099,11,12,65,True,strong_ok,2026-08-30T00:15:12+09:00
travel,pacific,괌 패키지여행 후기 일정,1,https://blog.naver.com/puzzle_travel/224387887988,괌 롯데호텔 4박5일 패키지 후기 오션프론트 클럽룸 라세느 조식 렌터카까지 할인 예약팁,1106,19,12,75,True,strong_ok,2026-08-30T00:15:12+09:00
travel,pacific,사이판 패키지여행 후기,1,https://blog.naver.com/guamwhale/224377044952,사이판 마나가하섬 자유여행 투어 최저가 할인 총정리 🏝️ 이치방 보트로 떠나는 단독특가 패키지,4484,35,12,85,True,strong_ok,2026-08-30T00:15:12+09:00
travel,hongkong,홍콩 마카오 패키지여행 후기,1,https://blog.naver.com/dglds/224389775750,홍콩 마카오 여행 자유일정 2박3일 패키지 혜택 정리,1827,18,3,77,True,strong_ok,2026-08-30T00:15:12+09:00
travel,china,장가계 패키지여행 후기 일정,1,https://blog.naver.com/pinkyluv83/224391118427,중국 장가계 패키지 여행 단독 투어 청주 출발 직항 자유여행,2404,39,12,95,True,strong_ok,2026-08-30T00:15:13+09:00
travel,canada,캐나다 패키지여행 후기 코스,1,https://blog.naver.com/wansojun/224371126254,"캐나다 캘거리 효도 여행 패키지, 부모님도 나도 너무 만족하고온 소규모 여행 후기",2379,17,12,95,True,strong_ok,2026-08-30T00:15:13+09:00
travel,cruise,크루즈 패키지여행 후기 일정,1,https://blog.naver.com/obh1680/224376425716,이집트 여행 경비 패키지 오다투어 나일강 크루즈,2709,53,12,95,True,strong_ok,2026-08-30T00:15:14+09:00
travel,japan,일본 패키지여행 후기 일정,2,https://blog.naver.com/pjob/224387739974,"[일본 규슈 2박 3일] 50대 여자 4인방의 힐링 패키지 여행 찐후기 (ft. 스기노이 호텔, 꿀비행 스케줄)",997,24,12,75,True,strong_ok,2026-08-30T00:15:13+09:00
travel,japan,오사카 패키지여행 후기 코스,2,https://blog.naver.com/lifeofbliss/224377364045,일본가족여행 오사카 패키지 여행 2박3일 교토 고베 경비 총정리,2713,33,12,95,True,strong_ok,2026-08-30T00:15:15+09:00
travel,japan,도쿄 패키지여행 후기 일정,2,https://blog.naver.com/likez2/224381153702,9월 10월 해외여행지 추천 일본 도쿄 가족여행 2박 3일 단독 일정 코스,2248,41,12,95,True,strong_ok,2026-08-30T00:15:14+09:00
travel,japan,오키나와 패키지여행 후기,2,https://blog.naver.com/su_yogi/224311033086,일본 3박4일 오키나와 가족 여행 패키지 코스 적기 후기,1622,22,12,87,True,strong_ok,2026-08-30T00:15:14+09:00
travel,taiwan,대만 타이베이 패키지여행 후기,2,https://blog.naver.com/syp15/224374482141,3박4일 대만 여행 자유여행 코스 지우펀 패키지,1974,58,12,87,True,strong_ok,2026-08-30T00:15:15+09:00
travel,taiwan,타이페이 단수이 여행 코스 후기,2,https://blog.naver.com/jamjma98/224305299245,대만 타이베이 단수이 여행 코스 홍마오청 카스테라 타이베이 여행 준비물,2319,32,12,95,True,strong_ok,2026-08-30T00:15:16+09:00
travel,vietnam,다낭 패키지여행 후기 일정,3,https://blog.naver.com/seulgibubu/224388857536,베트남 다낭 여행 코스 호이안 바나힐 패키지 추천!,2086,36,12,95,True,strong_ok,2026-08-30T00:15:23+09:00
travel,vietnam,나트랑 패키지여행 후기,2,https://blog.naver.com/mee1202/224384568952,나트랑 달랏여행 가볼만한곳 나트랑 시내투어 자유여행 패키지,2634,47,12,95,True,strong_ok,2026-08-30T00:15:16+09:00
